season,stage,map_winner,map_loser,map_name,map_type,match_count
2,Four,Los Angeles Gladiators,Houston Outlaws,Hollywood,Hybrid,2
1,Four,New York Excelsior,Los Angeles Gladiators,Hanamura,Assault,2
2,One - Title,San Francisco Shock,Toronto Defiant,Busan,Control,3
2,Three,Boston Uprising,Paris Eternal,Eichenwalde,Hybrid,4
2,One - Title,Vancouver Titans,Boston Uprising,Ilios,Control,2
3,OWL 2020 Regular Season,Philadelphia Fusion,Vancouver Titans,Rialto,Escort,2
2,Four,Los Angeles Gladiators,Chengdu Hunters,Volskaya Industries,Assault,2
3,OWL 2020 Regular Season,Los Angeles Gladiators,Atlanta Reign,Ilios,Control,3
2,Season 2 Championship,Vancouver Titans,New York Excelsior,Watchpoint: Gibraltar,Escort,2
2,Two,Seoul Dynasty,Los Angeles Valiant,Busan,Control,2
2,Two,New York Excelsior,Philadelphia Fusion,Watchpoint: Gibraltar,Escort,2
2,One,Washington Justice,Seoul Dynasty,Dorado,Escort,4
2,One,Atlanta Reign,Chengdu Hunters,Rialto,Escort,2
3,OWL 2020 Regular Season,Shanghai Dragons,Seoul Dynasty,King's Row,Hybrid,2
2,Four,Washington Justice,Paris Eternal,Hanamura,Assault,2
2,Four,San Francisco Shock,Shanghai Dragons,Busan,Control,3
1,Two,Houston Outlaws,San Francisco Shock,Hollywood,Hybrid,2
3,OWL 2020 Regular Season,San Francisco Shock,Los Angeles Valiant,Eichenwalde,Hybrid,4
3,OWL 2020 Regular Season,Los Angeles Valiant,Washington Justice,Oasis,Control,2
1,Three,San Francisco Shock,Dallas Fuel,Blizzard World,Hybrid,2
3,OWL 2020 Regular Season,Dallas Fuel,Washington Justice,Hollywood,Hybrid,2
3,OWL 2020 Regular Season,Toronto Defiant,Vancouver Titans,Rialto,Escort,2
1,Two,Houston Outlaws,Florida Mayhem,Ilios,Control,2
2,Two,Houston Outlaws,Guangzhou Charge,King's Row,Hybrid,2
2,Season 2 Championship,New York Excelsior,Atlanta Reign,Numbani,Hybrid,2
1,One,Boston Uprising,Florida Mayhem,Dorado,Escort,2
1,Three,Los Angeles Gladiators,Shanghai Dragons,Blizzard World,Hybrid,2
3,OWL 2020 Regular Season,Paris Eternal,Dallas Fuel,Lijiang Tower,Control,2
2,Four,Hangzhou Spark,Shanghai Dragons,Hollywood,Hybrid,2
1,Three,New York Excelsior,San Francisco Shock,Nepal,Control,3
1,Inaugural Championship,London Spitfire,Los Angeles Gladiators,Eichenwalde,Hybrid,2
1,Inaugural Championship,Philadelphia Fusion,New York Excelsior,Junkertown,Escort,2
